id,x,y,m,f,total
95322507,493202,285093,30875.3,31896.05,62771.35
95322508,493202,285143,3009.63,2549.78,5559.41
95322509,493202,285193,13043.33,11039.13,24082.46
95322510,493202,285243,22893.45,19363.09,42256.54
95322511,493202,285293,31330.91,26554.87,57885.78
95322512,493202,285343,37170.49,31484.87,68655.36
95322513,493202,285393,36675.91,31102.87,67778.78
95322514,493202,285443,32495.6,27572.45,60068.05
95322515,493202,285493,26930.72,22808.24,49738.96
95322516,493202,285543,22991.53,19459.59,42451.12
95322517,493202,285593,23143.2,19594.12,42737.32
95322518,493202,285643,17861.97,18787,36648.97
95322519,493202,285693,17861.97,18787,36648.97
95322520,493202,285743,22099.7,23228.07,45327.77
95322521,493202,285793,22099.7,23228.07,45327.77
95322522,493202,285843,22099.7,23228.07,45327.77
95322523,493202,285893,22099.7,23228.07,45327.77
95322524,493202,285943,22099.7,23228.07,45327.77
95322525,493202,285993,22099.7,23228.07,45327.77
95322526,493202,286043,22099.7,23228.07,45327.77
95334649,493252,282743,15640.9,16675.92,32316.82
95334650,493252,282793,15642.61,16677.79,32320.4
95334651,493252,282843,15642.61,16677.79,32320.4
95334652,493252,282893,15640.9,16675.92,32316.82
95334653,493252,282943,15640.9,16675.92,32316.82
95334655,493252,283043,1057.46,1095.44,2152.9
95334656,493252,283093,11558.32,12350.53,23908.85
95334658,493252,283193,4177.4,4562.14,8739.54
95334659,493252,283243,1286.73,1333.88,2620.61
95334660,493252,283293,64466.19,78940.28,143406.47
95334661,493252,283343,91199.41,111679.02,202878.43
95334662,493252,283393,204479.05,251651.72,456130.77
95334663,493252,283443,197961.68,243608.19,441569.87
95334664,493252,283493,79984.42,98177.22,178161.64
95334665,493252,283543,137727.92,169146.08,306874
95334666,493252,283593,170955.15,210205.98,381161.13
95334667,493252,283643,79411.6,92197.48,171609.08
95334668,493252,283693,75544.2,87712.6,163256.8
95334669,493252,283743,117970.4,136985.4,254955.8
95334670,493252,283793,97469.42,113157.24,210626.66
95334671,493252,283843,94149.51,109282.97,203432.48
95334672,493252,283893,53543.97,61162.61,114706.58
95334673,493252,283943,47078.09,53809.93,100888.02
